profile,period,expression,rows,active_dates,cities,avg_cost,cost,pnl,roi,win_rate,current_hit_rate,d1_hit_rate,d2_hit_rate,skip_over_rate,excess_roi_vs_current_yes,ci95,reps
fade_high_current_yes,holdout,d1_no,956,13,36,0.9681370292887029,925.539,-0.5389999999999957,-0.0005823633580000364,0.9675732217573222,0.9654811715481172,0.032426778242677826,0.0020920502092050207,0.0,-0.002568967350748395,"[-0.005648790804755465, 0.001105256597365068]",3000
fade_high_current_yes,holdout,d2_no,672,13,36,0.9957693452380951,669.1569999999999,0.8430000000000021,0.0012597940393659517,0.9970238095238095,0.9568452380952381,0.04017857142857143,0.002976190476190476,0.0,-0.002463190904789282,"[-0.023617589682839977, 0.017078846464411046]",3000
fade_high_current_yes,holdout,no_ladder,672,13,36,1.9552767857142856,1313.946,1.0540000000000056,0.0008021638636595458,0.9568452380952381,0.9568452380952381,0.04017857142857143,0.002976190476190476,0.0,-0.0029208210804956883,"[-0.013667606214273341, 0.006721492640540877]",3000
fade_high_current_yes,new_2026_06_10_14,current_yes,299,4,34,0.9595484949832775,286.905,0.09500000000000286,0.0003311200571617883,0.959866220735786,0.959866220735786,0.04013377926421405,0.0,0.0,0.0,"[0.0, 0.0]",0
fade_high_current_yes,new_2026_06_10_14,d1_no,299,4,34,0.9653745819397991,288.64699999999993,-1.6469999999999994,-0.0057059314664624945,0.959866220735786,0.959866220735786,0.04013377926421405,0.0,0.0,-0.006037051523624278,"[-0.008266339584448985, -0.004797218249876802]",3000
fade_high_current_yes,new_2026_06_10_14,d2_no,220,4,34,0.9958363636363637,219.08400000000003,0.9160000000000008,0.004181044713443249,1.0,0.9590909090909091,0.04090909090909091,0.0,0.0,-0.00839213889342882,"[-0.028829137044252006, 0.011083008950664625]",3000
fade_high_current_yes,new_2026_06_10_14,no_ladder,220,4,34,1.9511454545454547,429.25200000000007,1.7480000000000024,0.004072200013045955,0.9590909090909091,0.9590909090909091,0.04090909090909091,0.0,0.0,-0.008500983593826115,"[-0.019046217290822877, 0.0008081786060097238]",3000
fade_high_current_yes,all,current_yes,1745,26,36,0.9632521489971346,1680.875,-0.8749999999999889,-0.0005205622071837518,0.9627507163323782,0.9627507163323782,0.03495702005730659,0.002292263610315186,0.0,0.0,"[0.0, 0.0]",0
fade_high_current_yes,all,d1_no,1745,26,36,0.9687581661891116,1690.4829999999997,-6.48299999999999,-0.0038349986364843605,0.9650429799426934,0.9627507163323782,0.03495702005730659,0.002292263610315186,0.0,-0.0033144364293006077,"[-0.006141549842341476, 0.00012438131495015706]",3000
fade_high_current_yes,all,d2_no,1204,26,36,0.9948322259136213,1197.778,2.2220000000000044,0.0018551016966416184,0.9966777408637874,0.9526578073089701,0.04401993355481727,0.0033222591362126247,0.0,0.00091874187616439,"[-0.012578908088353699, 0.014685600991125026]",3000
fade_high_current_yes,all,no_ladder,1204,26,36,1.9544202657807308,2353.122,-2.121999999999988,-0.0009017806981533418,0.9526578073089701,0.9526578073089701,0.04401993355481727,0.0033222591362126247,0.0,-0.001838140518630571,"[-0.009219766102727404, 0.0053317371046054645]",3000
d1_high_carry,train,current_yes,780,13,36,0.9612948717948717,749.81,2.190000000000005,0.0029207399207799374,0.9641025641025641,0.9641025641025641,0.029487179487179487,0.0038461538461538464,0.002564102564102564,0.0,"[0.0, 0.0]",0
d1_high_carry,train,d1_no,796,13,36,0.9755804020100501,776.5619999999999,-3.5619999999999963,-0.004586884241052224,0.9711055276381909,0.9610552763819096,0.028894472361809045,0.0037688442211055275,0.00628140703517588,-0.007639451340482292,"[-0.02029823647791841, 0.0023207861826099784]",3000
d1_high_carry,train,d2_no,527,13,36,0.9924762808349148,523.0350000000001,0.965000000000002,0.001845000812565128,0.9943074003795066,0.9506641366223909,0.03984819734345351,0.0056925996204933585,0.003795066413662239,-0.0018184649353249554,"[-0.0162355047067395, 0.015810265152753807]",3000
d1_high_carry,train,no_ladder,527,13,36,1.959607210626186,1032.713,-2.7129999999999947,-0.0026270609549797425,0.9544592030360531,0.9506641366223909,0.03984819734345351,0.0056925996204933585,0.003795066413662239,-0.006307856181748791,"[-0.020574530253773017, 0.006459351647337843]",3000
d1_high_carry,holdout,current_yes,943,13,36,0.963135737009544,908.237,-3.2369999999999934,-0.0035640477100140093,0.9597030752916225,0.9597030752916225,0.030752916224814422,0.005302226935312832,0.0042417815482502655,0.0,"[0.0, 0.0]",0
